series,red_blue_light
1,2021-10-08 15:39:37
2,2021-10-11 11:39:52
3,2021-10-13 13:01:09
4,2021-10-15 11:28:43
5,2021-10-22 17:02:21
6,2021-10-27 13:18:05
7,2021-10-29 09:31:45
8,2021-11-05 13:18:11
