timestamp,differential_potential_CH1,differential_potential_CH2
2022-01-27 23:40:00,511769,506905
2022-01-27 23:40:02,511714,506886
2022-01-27 23:40:04,511762,506996
2022-01-27 23:40:05,511745,506802
2022-01-27 23:40:07,511523,506652
2022-01-27 23:40:09,511835,506976
2022-01-27 23:40:11,511519,506602
2022-01-27 23:40:12,511435,506933
2022-01-27 23:40:14,511688,506995
2022-01-27 23:40:16,511624,506763
2022-01-27 23:40:17,511379,506972
2022-01-27 23:40:19,511824,506879
2022-01-27 23:40:21,511602,506912
2022-01-27 23:40:23,511757,506958
2022-01-27 23:40:24,511555,506822
2022-01-27 23:40:26,511584,506952
2022-01-27 23:40:28,511644,506885
2022-01-27 23:40:30,511647,506868
2022-01-27 23:40:31,511659,506945
2022-01-27 23:40:33,511696,506915
2022-01-27 23:40:35,511542,506743
2022-01-27 23:40:36,511621,506966
2022-01-27 23:40:38,511801,506500
2022-01-27 23:40:40,511651,506748
2022-01-27 23:40:42,511696,506809
2022-01-27 23:40:43,511674,506592
2022-01-27 23:40:45,511498,506767
2022-01-27 23:40:47,511623,506801
2022-01-27 23:40:49,511624,506791
2022-01-27 23:40:50,511592,506653
2022-01-27 23:40:52,511577,506842
2022-01-27 23:40:54,511518,506636
2022-01-27 23:40:55,511674,506742
2022-01-27 23:40:57,511881,506843
2022-01-27 23:40:59,511611,506825
2022-01-27 23:41:01,511566,506744
2022-01-27 23:41:02,511708,506562
2022-01-27 23:41:04,511616,506716
2022-01-27 23:41:06,511756,506936
2022-01-27 23:41:08,511448,506728
2022-01-27 23:41:09,511332,506724
2022-01-27 23:41:11,511713,506852
2022-01-27 23:41:13,511732,506750
2022-01-27 23:41:14,511671,506921
2022-01-27 23:41:16,511752,506877
2022-01-27 23:41:18,511692,506767
2022-01-27 23:41:20,511721,506840
2022-01-27 23:41:21,512011,506740
2022-01-27 23:41:23,511427,506672
2022-01-27 23:41:25,511624,506982
2022-01-27 23:41:27,511678,506728
2022-01-27 23:41:28,511840,506975
2022-01-27 23:41:30,511627,506716
2022-01-27 23:41:32,511523,506653
2022-01-27 23:41:33,511656,506830
2022-01-27 23:41:35,511685,506643
2022-01-27 23:41:37,511607,506571
2022-01-27 23:41:39,511635,506843
2022-01-27 23:41:40,511752,506803
2022-01-27 23:41:42,511997,506931
2022-01-27 23:41:44,511709,506708
2022-01-27 23:41:46,511684,506723
2022-01-27 23:41:47,511799,506899
2022-01-27 23:41:49,511687,506748
2022-01-27 23:41:51,511676,506842
2022-01-27 23:41:52,511755,506693
2022-01-27 23:41:54,511752,506774
2022-01-27 23:41:56,511690,506749
2022-01-27 23:41:58,511812,506747
2022-01-27 23:41:59,511743,507057
2022-01-27 23:42:01,511782,506933
2022-01-27 23:42:03,511723,506698
2022-01-27 23:42:05,511634,506960
2022-01-27 23:42:06,511390,506685
2022-01-27 23:42:08,511775,506545
2022-01-27 23:42:10,511728,506919
2022-01-27 23:42:11,511569,506884
2022-01-27 23:42:13,511625,506939
2022-01-27 23:42:15,511849,506777
2022-01-27 23:42:17,511484,506595
2022-01-27 23:42:18,511490,506828
2022-01-27 23:42:20,511570,506860
2022-01-27 23:42:22,511751,506933
2022-01-27 23:42:23,511818,506864
2022-01-27 23:42:25,511491,506727
2022-01-27 23:42:27,511579,506777
2022-01-27 23:42:29,511552,506796
2022-01-27 23:42:30,511772,506958
2022-01-27 23:42:32,511578,506780
2022-01-27 23:42:34,511514,506696
2022-01-27 23:42:36,511625,506856
