timestamp,differential_potential_CH1,differential_potential_CH2
2022-02-15 21:30:00,510402,508762
2022-02-15 21:30:01,510364,508787
2022-02-15 21:30:03,510551,508886
2022-02-15 21:30:05,510645,508886
2022-02-15 21:30:07,510305,508758
2022-02-15 21:30:08,510344,508713
2022-02-15 21:30:10,510581,509011
2022-02-15 21:30:12,510554,508814
2022-02-15 21:30:13,510310,508713
2022-02-15 21:30:15,510561,508908
2022-02-15 21:30:17,510524,508962
2022-02-15 21:30:19,510317,508745
2022-02-15 21:30:20,510431,508743
2022-02-15 21:30:22,510578,508924
2022-02-15 21:30:24,510532,508922
2022-02-15 21:30:26,510351,508790
2022-02-15 21:30:27,510421,508728
2022-02-15 21:30:29,510593,508948
2022-02-15 21:30:31,510518,508883
2022-02-15 21:30:32,510329,508762
2022-02-15 21:30:34,510369,508767
2022-02-15 21:30:36,510567,508932
2022-02-15 21:30:38,510587,508895
2022-02-15 21:30:39,510411,508750
2022-02-15 21:30:41,510367,508761
2022-02-15 21:30:43,510501,508737
2022-02-15 21:30:45,510490,508862
2022-02-15 21:30:46,510596,508897
2022-02-15 21:30:48,510338,508790
2022-02-15 21:30:50,510400,508761
2022-02-15 21:30:51,510348,508850
2022-02-15 21:30:53,510596,508910
2022-02-15 21:30:55,510665,508777
2022-02-15 21:30:57,510360,508739
2022-02-15 21:30:58,510344,508761
2022-02-15 21:31:00,510467,508908
2022-02-15 21:31:02,510594,508888
2022-02-15 21:31:03,510361,508783
2022-02-15 21:31:05,510396,508747
2022-02-15 21:31:07,510570,508884
2022-02-15 21:31:09,510579,508911
2022-02-15 21:31:10,510595,508944
2022-02-15 21:31:12,510297,508764
2022-02-15 21:31:14,510391,508754
2022-02-15 21:31:16,510462,508891
2022-02-15 21:31:17,510635,508990
2022-02-15 21:31:19,510584,508780
2022-02-15 21:31:21,510350,508748
2022-02-15 21:31:22,510263,508739
2022-02-15 21:31:24,510332,508722
2022-02-15 21:31:26,510525,508905
2022-02-15 21:31:28,510584,508959
2022-02-15 21:31:29,510567,508836
2022-02-15 21:31:31,510284,508769
2022-02-15 21:31:33,510337,508706
2022-02-15 21:31:35,510619,508923
2022-02-15 21:31:36,510599,508904
2022-02-15 21:31:38,510572,508731
2022-02-15 21:31:40,510369,508732
2022-02-15 21:31:41,510360,508788
2022-02-15 21:31:43,510602,508912
2022-02-15 21:31:45,510416,508761
2022-02-15 21:31:47,510364,508721
2022-02-15 21:31:48,510676,508929
2022-02-15 21:31:50,510626,509023
2022-02-15 21:31:52,510486,508754
2022-02-15 21:31:54,510406,508700
2022-02-15 21:31:55,510600,508902
2022-02-15 21:31:57,510488,508937
2022-02-15 21:31:59,510305,508830
2022-02-15 21:32:00,510391,508750
2022-02-15 21:32:02,510619,508930
2022-02-15 21:32:04,510638,508928
2022-02-15 21:32:06,510367,508755
2022-02-15 21:32:07,510358,508717
2022-02-15 21:32:09,510626,508938
2022-02-15 21:32:11,510605,508968
2022-02-15 21:32:12,510362,508810
2022-02-15 21:32:14,510503,508880
2022-02-15 21:32:16,510583,508910
2022-02-15 21:32:18,510591,508740
2022-02-15 21:32:19,510318,508779
2022-02-15 21:32:21,510426,508876
2022-02-15 21:32:23,510538,508891
2022-02-15 21:32:25,510613,508989
2022-02-15 21:32:26,510345,508788
2022-02-15 21:32:28,510408,508757
2022-02-15 21:32:30,510502,508861
2022-02-15 21:32:31,510581,508899
2022-02-15 21:32:33,510311,508738
2022-02-15 21:32:35,510369,508787
2022-02-15 21:32:37,510483,508909
2022-02-15 21:32:38,510634,508909
2022-02-15 21:32:40,510333,508778
2022-02-15 21:32:42,510328,508727
2022-02-15 21:32:44,510551,508897
2022-02-15 21:32:45,510638,508913
2022-02-15 21:32:47,510437,508795
2022-02-15 21:32:49,510364,508813
2022-02-15 21:32:50,510462,508911
2022-02-15 21:32:52,510490,508833
2022-02-15 21:32:54,510315,508795
2022-02-15 21:32:56,510343,508790
2022-02-15 21:32:57,510544,508908
2022-02-15 21:32:59,510549,508979
2022-02-15 21:33:01,510306,508731
2022-02-15 21:33:03,510517,508886
2022-02-15 21:33:04,510602,508902
2022-02-15 21:33:06,510303,508754
2022-02-15 21:33:08,510304,508732
2022-02-15 21:33:09,510637,508920
2022-02-15 21:33:11,510531,508903
2022-02-15 21:33:13,510394,508852
2022-02-15 21:33:15,510366,508752
2022-02-15 21:33:16,510532,508961
2022-02-15 21:33:18,510556,508745
2022-02-15 21:33:20,510436,508761
2022-02-15 21:33:21,510335,508773
2022-02-15 21:33:23,510533,508955
2022-02-15 21:33:25,510254,508724
2022-02-15 21:33:27,510274,508713
2022-02-15 21:33:28,510568,508857
2022-02-15 21:33:30,510531,508885
2022-02-15 21:33:32,510300,508777
2022-02-15 21:33:34,510354,508760
2022-02-15 21:33:35,510607,508948
2022-02-15 21:33:37,510314,508685
2022-02-15 21:33:39,510270,508702
2022-02-15 21:33:40,510578,508873
2022-02-15 21:33:42,510609,508910
2022-02-15 21:33:44,510431,508772
2022-02-15 21:33:46,510317,508730
2022-02-15 21:33:47,510579,508916
2022-02-15 21:33:49,510618,508852
2022-02-15 21:33:51,510440,508779
2022-02-15 21:33:53,510378,508756
2022-02-15 21:33:54,510599,508883
2022-02-15 21:33:56,510560,508720
2022-02-15 21:33:58,510338,508704
2022-02-15 21:33:59,510478,508873
2022-02-15 21:34:01,510531,508918
2022-02-15 21:34:03,510579,508778
2022-02-15 21:34:05,510345,508754
2022-02-15 21:34:06,510557,508899
2022-02-15 21:34:08,510616,508892
2022-02-15 21:34:10,510450,508781
2022-02-15 21:34:12,510337,508775
2022-02-15 21:34:13,510511,508908
2022-02-15 21:34:15,510616,508969
2022-02-15 21:34:17,510328,508763
2022-02-15 21:34:18,510368,508776
2022-02-15 21:34:20,510577,508933
2022-02-15 21:34:22,510508,508955
2022-02-15 21:34:24,510289,508770
2022-02-15 21:34:25,510458,508730
2022-02-15 21:34:27,510587,508968
2022-02-15 21:34:29,510607,508780
2022-02-15 21:34:30,510307,508774
2022-02-15 21:34:32,510530,508994
2022-02-15 21:34:34,510550,508972
2022-02-15 21:34:36,510281,508786
2022-02-15 21:34:37,510266,508723
2022-02-15 21:34:39,510572,508864
2022-02-15 21:34:41,510538,508991
2022-02-15 21:34:43,510292,508738
2022-02-15 21:34:44,510184,508754
2022-02-15 21:34:46,510539,508862
2022-02-15 21:34:48,510532,508969
2022-02-15 21:34:49,510379,508817
2022-02-15 21:34:51,510370,508784
2022-02-15 21:34:53,510548,508959
2022-02-15 21:34:55,510439,508902
2022-02-15 21:34:56,510499,508737
2022-02-15 21:34:58,510335,508724
2022-02-15 21:35:00,510553,508915
2022-02-15 21:35:02,510468,508905
2022-02-15 21:35:03,510567,508745
2022-02-15 21:35:05,510326,508783
2022-02-15 21:35:07,510481,508963
2022-02-15 21:35:08,510569,508907
2022-02-15 21:35:10,510284,508814
2022-02-15 21:35:12,510286,508760
2022-02-15 21:35:14,510539,508942
2022-02-15 21:35:15,510635,508986
2022-02-15 21:35:17,510341,508741
2022-02-15 21:35:19,510413,508815
2022-02-15 21:35:21,510478,508950
2022-02-15 21:35:22,510565,508873
2022-02-15 21:35:24,510360,508779
2022-02-15 21:35:26,510619,508905
2022-02-15 21:35:27,510538,508923
2022-02-15 21:35:29,510384,508829
2022-02-15 21:35:31,510313,508789
2022-02-15 21:35:33,510489,508919
2022-02-15 21:35:34,510521,508960
2022-02-15 21:35:36,510397,508884
2022-02-15 21:35:38,510284,508723
2022-02-15 21:35:40,510476,508958
2022-02-15 21:35:41,510469,508968
2022-02-15 21:35:43,510627,508770
2022-02-15 21:35:45,510247,508809
2022-02-15 21:35:46,510229,508776
2022-02-15 21:35:48,510607,508963
2022-02-15 21:35:50,510461,508843
2022-02-15 21:35:52,510298,508711
2022-02-15 21:35:53,510580,508927
2022-02-15 21:35:55,510600,508883
2022-02-15 21:35:57,510369,508810
2022-02-15 21:35:58,510359,508748
2022-02-15 21:36:00,510652,508987
2022-02-15 21:36:02,510314,508807
2022-02-15 21:36:04,510341,508783
2022-02-15 21:36:05,510441,508900
2022-02-15 21:36:07,510489,508864
2022-02-15 21:36:09,510311,508784
2022-02-15 21:36:11,510341,508763
2022-02-15 21:36:12,510547,508911
2022-02-15 21:36:14,510633,508780
2022-02-15 21:36:16,510296,508739
2022-02-15 21:36:17,510468,508897
2022-02-15 21:36:19,510620,508951
2022-02-15 21:36:21,510326,508734
2022-02-15 21:36:23,510575,508938
2022-02-15 21:36:24,510563,508890
2022-02-15 21:36:26,510287,508700
2022-02-15 21:36:28,510262,508754
2022-02-15 21:36:30,510600,508973
2022-02-15 21:36:31,510362,508753
2022-02-15 21:36:33,510347,508730
2022-02-15 21:36:35,510465,508947
2022-02-15 21:36:36,510402,508800
2022-02-15 21:36:38,510356,508764
2022-02-15 21:36:40,510506,508885
2022-02-15 21:36:42,510310,508809
2022-02-15 21:36:43,510428,508759
2022-02-15 21:36:45,510567,508915
2022-02-15 21:36:47,510664,509003
2022-02-15 21:36:49,510231,508756
2022-02-15 21:36:50,510380,508776
2022-02-15 21:36:52,510582,508952
2022-02-15 21:36:54,510592,508779
2022-02-15 21:36:55,510295,508831
2022-02-15 21:36:57,510329,508806
2022-02-15 21:36:59,510626,508947
2022-02-15 21:37:01,510538,508754
2022-02-15 21:37:02,510387,508808
2022-02-15 21:37:04,510531,508895
2022-02-15 21:37:06,510640,508900
2022-02-15 21:37:07,510356,508747
2022-02-15 21:37:09,510319,508756
2022-02-15 21:37:11,510468,508932
2022-02-15 21:37:13,510532,508732
2022-02-15 21:37:14,510216,508786
2022-02-15 21:37:16,510625,508962
2022-02-15 21:37:18,510535,508904
2022-02-15 21:37:20,510413,508759
2022-02-15 21:37:21,510565,508931
2022-02-15 21:37:23,510560,508929
2022-02-15 21:37:25,510386,508800
2022-02-15 21:37:26,510371,508769
2022-02-15 21:37:28,510590,508928
2022-02-15 21:37:30,510609,508772
2022-02-15 21:37:32,510339,508751
2022-02-15 21:37:33,510519,508949
2022-02-15 21:37:35,510588,508934
2022-02-15 21:37:37,510415,508792
2022-02-15 21:37:39,510240,508744
2022-02-15 21:37:40,510592,508886
2022-02-15 21:37:42,510264,508699
2022-02-15 21:37:44,510244,508712
2022-02-15 21:37:45,510540,508901
2022-02-15 21:37:47,510607,508950
2022-02-15 21:37:49,510317,508772
2022-02-15 21:37:51,510373,508716
2022-02-15 21:37:52,510587,508896
2022-02-15 21:37:54,510675,508781
2022-02-15 21:37:56,510443,508724
2022-02-15 21:37:58,510686,508911
2022-02-15 21:37:59,510569,508910
2022-02-15 21:38:01,510350,508773
2022-02-15 21:38:03,510596,508987
2022-02-15 21:38:04,510614,508969
2022-02-15 21:38:06,510334,508809
2022-02-15 21:38:08,510374,508762
2022-02-15 21:38:10,510625,508946
2022-02-15 21:38:11,510565,508901
2022-02-15 21:38:13,510408,508749
2022-02-15 21:38:15,510398,508729
2022-02-15 21:38:16,510586,508911
2022-02-15 21:38:18,510585,508769
2022-02-15 21:38:20,510337,508745
2022-02-15 21:38:22,510605,508910
2022-02-15 21:38:23,510517,508928
2022-02-15 21:38:25,510358,508850
2022-02-15 21:38:27,510486,508888
2022-02-15 21:38:29,510539,508865
2022-02-15 21:38:30,510328,508784
2022-02-15 21:38:32,510438,508877
2022-02-15 21:38:34,510656,508913
2022-02-15 21:38:35,510370,508758
2022-02-15 21:38:37,510428,508958
2022-02-15 21:38:39,510632,508973
2022-02-15 21:38:41,510454,508839
2022-02-15 21:38:42,510381,508784
2022-02-15 21:38:44,510628,508885
2022-02-15 21:38:46,510310,508709
2022-02-15 21:38:48,510362,508770
2022-02-15 21:38:49,510529,508932
2022-02-15 21:38:51,510665,508770
2022-02-15 21:38:53,510404,508795
2022-02-15 21:38:54,510619,508922
2022-02-15 21:38:56,510677,508935
2022-02-15 21:38:58,510478,508720
2022-02-15 21:39:00,510483,508849
2022-02-15 21:39:01,510642,508931
2022-02-15 21:39:03,510406,508838
2022-02-15 21:39:05,510351,508707
2022-02-15 21:39:07,510567,508898
2022-02-15 21:39:08,510551,508751
2022-02-15 21:39:10,510349,508736
2022-02-15 21:39:12,510574,508905
2022-02-15 21:39:13,510626,508883
2022-02-15 21:39:15,510363,508799
2022-02-15 21:39:17,510598,508934
2022-02-15 21:39:19,510665,508927
2022-02-15 21:39:20,510377,508788
2022-02-15 21:39:22,510583,508890
2022-02-15 21:39:24,510611,508973
2022-02-15 21:39:25,510342,508800
2022-02-15 21:39:27,510479,508893
2022-02-15 21:39:29,510453,508925
2022-02-15 21:39:31,510359,508762
2022-02-15 21:39:32,510303,508747
2022-02-15 21:39:34,510534,508995
2022-02-15 21:39:36,510312,508805
2022-02-15 21:39:38,510399,508817
2022-02-15 21:39:39,510527,508897
2022-02-15 21:39:41,510633,508810
2022-02-15 21:39:43,510319,508773
2022-02-15 21:39:44,510604,508945
2022-02-15 21:39:46,510541,508978
2022-02-15 21:39:48,510291,508809
2022-02-15 21:39:50,510388,508789
2022-02-15 21:39:51,510597,508943
2022-02-15 21:39:53,510625,508774
2022-02-15 21:39:55,510374,508782
2022-02-15 21:39:57,510521,508926
2022-02-15 21:39:58,510544,508974
2022-02-15 21:40:00,510370,508794
2022-02-15 21:40:02,510325,508720
2022-02-15 21:40:03,510416,508904
2022-02-15 21:40:05,510625,508967
2022-02-15 21:40:07,510355,508780
2022-02-15 21:40:09,510494,508901
2022-02-15 21:40:10,510572,508869
2022-02-15 21:40:12,510360,508729
2022-02-15 21:40:14,510299,508730
2022-02-15 21:40:16,510507,508952
2022-02-15 21:40:17,510605,508926
2022-02-15 21:40:19,510298,508770
2022-02-15 21:40:21,510631,508864
2022-02-15 21:40:22,510548,508939
2022-02-15 21:40:24,510318,508752
2022-02-15 21:40:26,510260,508744
2022-02-15 21:40:28,510676,508882
2022-02-15 21:40:29,510396,508784
2022-02-15 21:40:31,510641,508840
2022-02-15 21:40:33,510462,508939
2022-02-15 21:40:34,510294,508760
2022-02-15 21:40:36,510578,508880
2022-02-15 21:40:38,510626,508895
2022-02-15 21:40:40,510432,508781
2022-02-15 21:40:41,510670,508752
2022-02-15 21:40:43,510588,508871
2022-02-15 21:40:45,510358,508808
2022-02-15 21:40:47,510625,508938
2022-02-15 21:40:48,510670,508988
2022-02-15 21:40:50,510414,508726
2022-02-15 21:40:52,510543,508849
2022-02-15 21:40:53,510584,508798
2022-02-15 21:40:55,510452,508744
2022-02-15 21:40:57,510505,508919
2022-02-15 21:40:59,510675,508744
2022-02-15 21:41:00,510232,508730
2022-02-15 21:41:02,510635,508916
2022-02-15 21:41:04,510461,508764
2022-02-15 21:41:06,510357,508767
2022-02-15 21:41:07,510465,508870
2022-02-15 21:41:09,510555,508768
2022-02-15 21:41:11,510319,508792
2022-02-15 21:41:12,510637,508818
2022-02-15 21:41:14,510578,508795
2022-02-15 21:41:16,510353,508746
2022-02-15 21:41:18,510675,508914
2022-02-15 21:41:19,510391,508753
2022-02-15 21:41:21,510473,508780
2022-02-15 21:41:23,510612,508994
2022-02-15 21:41:25,510409,508746
2022-02-15 21:41:26,510411,508759
2022-02-15 21:41:28,510618,508958
2022-02-15 21:41:30,510372,508738
2022-02-15 21:41:31,510467,508852
2022-02-15 21:41:33,510648,508943
2022-02-15 21:41:35,510346,508758
2022-02-15 21:41:37,510626,508943
2022-02-15 21:41:38,510516,508950
2022-02-15 21:41:40,510349,508801
2022-02-15 21:41:42,510622,508884
2022-02-15 21:41:43,510587,508934
2022-02-15 21:41:45,510258,508773
2022-02-15 21:41:47,510478,508876
2022-02-15 21:41:49,510618,508891
2022-02-15 21:41:50,510474,508809
2022-02-15 21:41:52,510311,508720
2022-02-15 21:41:54,510566,509010
2022-02-15 21:41:56,510362,508764
2022-02-15 21:41:57,510536,508940
2022-02-15 21:41:59,510473,508924
2022-02-15 21:42:01,510427,508747
2022-02-15 21:42:02,510508,508903
2022-02-15 21:42:04,510634,508772
2022-02-15 21:42:06,510275,508778
2022-02-15 21:42:08,510627,508871
2022-02-15 21:42:09,510314,508838
2022-02-15 21:42:11,510357,508742
2022-02-15 21:42:13,510526,508914
2022-02-15 21:42:15,510313,508815
2022-02-15 21:42:16,510313,508849
2022-02-15 21:42:18,510626,508943
2022-02-15 21:42:20,510616,508858
2022-02-15 21:42:21,510326,508731
2022-02-15 21:42:23,510635,508968
2022-02-15 21:42:25,510541,508823
2022-02-15 21:42:27,510300,508789
2022-02-15 21:42:28,510589,508869
2022-02-15 21:42:30,510651,508934
2022-02-15 21:42:32,510417,508770
2022-02-15 21:42:34,510526,508900
2022-02-15 21:42:35,510562,508949
2022-02-15 21:42:37,510405,508712
2022-02-15 21:42:39,510370,508754
