timestamp,differential_potential_CH1,differential_potential_CH2
2022-02-17 21:30:00,510874,508383
2022-02-17 21:30:01,510706,508337
2022-02-17 21:30:03,510912,508433
2022-02-17 21:30:05,511031,508524
2022-02-17 21:30:07,510663,508357
2022-02-17 21:30:08,510686,508171
2022-02-17 21:30:10,510999,508461
2022-02-17 21:30:12,510808,508296
2022-02-17 21:30:14,510686,508321
2022-02-17 21:30:15,510880,508476
2022-02-17 21:30:17,510971,508397
2022-02-17 21:30:19,511011,508410
2022-02-17 21:30:20,510820,508331
2022-02-17 21:30:22,510949,508363
2022-02-17 21:30:24,511039,508411
2022-02-17 21:30:26,510711,508413
2022-02-17 21:30:27,510792,508327
2022-02-17 21:30:29,510879,508441
2022-02-17 21:30:31,510879,508546
2022-02-17 21:30:33,510707,508222
2022-02-17 21:30:34,510784,508308
2022-02-17 21:30:36,510920,508476
2022-02-17 21:30:38,510891,508531
2022-02-17 21:30:39,511034,508240
2022-02-17 21:30:41,510800,508323
2022-02-17 21:30:43,510677,508430
2022-02-17 21:30:45,510973,508453
2022-02-17 21:30:46,511324,508474
2022-02-17 21:30:48,510698,508331
2022-02-17 21:30:50,510729,508165
2022-02-17 21:30:52,510807,508415
2022-02-17 21:30:53,510932,508512
2022-02-17 21:30:55,510802,508328
2022-02-17 21:30:57,510797,508361
2022-02-17 21:30:58,510878,508468
2022-02-17 21:31:00,510873,508403
2022-02-17 21:31:02,510688,508301
2022-02-17 21:31:04,510704,508318
2022-02-17 21:31:05,510854,508486
2022-02-17 21:31:07,511101,508319
2022-02-17 21:31:09,510843,508322
2022-02-17 21:31:10,510937,508565
2022-02-17 21:31:12,510931,508522
2022-02-17 21:31:14,511031,508302
2022-02-17 21:31:16,510713,508332
2022-02-17 21:31:17,510742,508351
2022-02-17 21:31:19,510924,508477
2022-02-17 21:31:21,510855,508449
2022-02-17 21:31:23,510793,508447
2022-02-17 21:31:24,510845,508293
2022-02-17 21:31:26,510964,508520
2022-02-17 21:31:28,510953,508541
2022-02-17 21:31:29,510752,508286
2022-02-17 21:31:31,510703,508321
2022-02-17 21:31:33,510920,508488
2022-02-17 21:31:35,510908,508504
2022-02-17 21:31:36,510938,508348
2022-02-17 21:31:38,510649,508424
2022-02-17 21:31:40,510838,508430
2022-02-17 21:31:42,510879,508481
2022-02-17 21:31:43,510927,508528
2022-02-17 21:31:45,510619,508335
2022-02-17 21:31:47,510823,508250
2022-02-17 21:31:48,510752,508508
2022-02-17 21:31:50,510912,508422
2022-02-17 21:31:52,510646,508355
2022-02-17 21:31:54,510942,508485
2022-02-17 21:31:55,510955,508464
2022-02-17 21:31:57,510756,508374
2022-02-17 21:31:59,510741,508336
2022-02-17 21:32:01,510941,508558
2022-02-17 21:32:02,510833,508501
2022-02-17 21:32:04,510859,508535
2022-02-17 21:32:06,510849,508248
2022-02-17 21:32:07,510769,508392
2022-02-17 21:32:09,510883,508483
2022-02-17 21:32:11,510923,508549
2022-02-17 21:32:13,510751,508249
2022-02-17 21:32:14,510725,508370
2022-02-17 21:32:16,510847,508479
2022-02-17 21:32:18,510789,508421
2022-02-17 21:32:19,510631,508389
2022-02-17 21:32:21,510676,508391
2022-02-17 21:32:23,510875,508526
2022-02-17 21:32:25,511018,508422
2022-02-17 21:32:26,510661,508346
2022-02-17 21:32:28,510664,508358
2022-02-17 21:32:30,510831,508530
2022-02-17 21:32:32,510928,508471
2022-02-17 21:32:33,510657,508453
2022-02-17 21:32:35,510928,508392
2022-02-17 21:32:37,510844,508534
2022-02-17 21:32:38,510709,508272
2022-02-17 21:32:40,510909,508420
2022-02-17 21:32:42,510895,508562
2022-02-17 21:32:44,510704,508317
2022-02-17 21:32:45,510679,508283
2022-02-17 21:32:47,510988,508503
2022-02-17 21:32:49,511046,508491
2022-02-17 21:32:51,510721,508431
2022-02-17 21:32:52,510719,508296
2022-02-17 21:32:54,510850,508580
