timestamp,differential_potential_CH1,differential_potential_CH2
2022-03-09 15:00:01,514829,509095
2022-03-09 15:00:02,514821,509058
2022-03-09 15:00:04,514793,509166
2022-03-09 15:00:06,514792,509134
2022-03-09 15:00:07,514831,509169
2022-03-09 15:00:09,514813,509157
2022-03-09 15:00:11,514785,509162
2022-03-09 15:00:13,514766,509133
2022-03-09 15:00:14,514774,509159
2022-03-09 15:00:16,514765,509136
2022-03-09 15:00:18,514834,509110
2022-03-09 15:00:20,514815,509052
2022-03-09 15:00:21,514804,508982
2022-03-09 15:00:23,514810,508943
2022-03-09 15:00:25,514671,508856
2022-03-09 15:00:27,514592,508835
2022-03-09 15:00:28,514550,508853
2022-03-09 15:00:30,514449,508901
2022-03-09 15:00:32,514503,508897
2022-03-09 15:00:34,514463,508853
2022-03-09 15:00:35,514466,508871
2022-03-09 15:00:37,514447,508882
2022-03-09 15:00:39,514448,508857
2022-03-09 15:00:41,514447,508907
2022-03-09 15:00:42,514453,508834
2022-03-09 15:00:44,514469,508887
2022-03-09 15:00:46,514477,508907
2022-03-09 15:00:47,514475,508893
2022-03-09 15:00:49,514478,508924
2022-03-09 15:00:51,514619,509009
2022-03-09 15:00:53,514737,509049
2022-03-09 15:00:54,514726,509098
2022-03-09 15:00:56,514835,509170
2022-03-09 15:00:58,514797,509142
2022-03-09 15:01:00,514772,509163
2022-03-09 15:01:01,514802,509178
2022-03-09 15:01:03,514773,509155
2022-03-09 15:01:05,514816,509138
2022-03-09 15:01:07,514761,509148
2022-03-09 15:01:08,514778,509170
2022-03-09 15:01:10,514796,509171
2022-03-09 15:01:12,514818,509015
2022-03-09 15:01:14,514787,508958
2022-03-09 15:01:15,514804,508934
2022-03-09 15:01:17,514830,508931
2022-03-09 15:01:19,514767,508907
2022-03-09 15:01:21,514759,508932
2022-03-09 15:01:22,514679,508898
2022-03-09 15:01:24,514662,508887
2022-03-09 15:01:26,514671,508874
2022-03-09 15:01:27,514608,508852
2022-03-09 15:01:29,514600,508837
2022-03-09 15:01:31,514549,508866
2022-03-09 15:01:33,514578,508844
2022-03-09 15:01:34,514486,508886
2022-03-09 15:01:36,514484,508886
2022-03-09 15:01:38,514447,508884
2022-03-09 15:01:40,514468,508888
2022-03-09 15:01:41,514469,508901
2022-03-09 15:01:43,514502,508862
2022-03-09 15:01:45,514499,508911
2022-03-09 15:01:47,514497,508878
2022-03-09 15:01:48,514496,508857
2022-03-09 15:01:50,514465,508863
2022-03-09 15:01:52,514483,508887
2022-03-09 15:01:54,514484,508872
2022-03-09 15:01:55,514486,508866
2022-03-09 15:01:57,514465,508892
2022-03-09 15:01:59,514513,508880
2022-03-09 15:02:01,514485,508874
2022-03-09 15:02:02,514505,508888
2022-03-09 15:02:04,514450,508848
2022-03-09 15:02:06,514421,508873
2022-03-09 15:02:07,514413,508891
2022-03-09 15:02:09,514443,508904
2022-03-09 15:02:11,514465,508878
2022-03-09 15:02:13,514447,508896
2022-03-09 15:02:14,514481,508840
2022-03-09 15:02:16,514492,508872
2022-03-09 15:02:18,514451,508847
2022-03-09 15:02:20,514479,508847
2022-03-09 15:02:21,514455,508843
2022-03-09 15:02:23,514463,508858
2022-03-09 15:02:25,514458,508875
2022-03-09 15:02:27,514482,508836
2022-03-09 15:02:28,514469,508865
2022-03-09 15:02:30,514488,508892
2022-03-09 15:02:32,514476,508903
2022-03-09 15:02:34,514462,508831
2022-03-09 15:02:35,514492,508878
2022-03-09 15:02:37,514444,508890
2022-03-09 15:02:39,514478,508860
2022-03-09 15:02:41,514482,508896
2022-03-09 15:02:42,514487,508847
2022-03-09 15:02:44,514482,508842
2022-03-09 15:02:46,514475,508803
2022-03-09 15:02:48,514450,508842
2022-03-09 15:02:49,514487,508928
2022-03-09 15:02:51,514522,508958
2022-03-09 15:02:53,514669,509049
2022-03-09 15:02:54,514737,509020
2022-03-09 15:02:56,514704,509038
2022-03-09 15:02:58,514723,509020
2022-03-09 15:03:00,514649,509006
2022-03-09 15:03:01,514658,508997
2022-03-09 15:03:03,514627,508984
2022-03-09 15:03:05,514661,508997
2022-03-09 15:03:07,514702,509001
2022-03-09 15:03:08,514642,509014
2022-03-09 15:03:10,514699,509010
2022-03-09 15:03:12,514775,509052
2022-03-09 15:03:14,514762,509089
2022-03-09 15:03:15,514744,509049
2022-03-09 15:03:17,514713,508970
2022-03-09 15:03:19,514665,509013
2022-03-09 15:03:21,514736,509031
2022-03-09 15:03:22,514732,509022
2022-03-09 15:03:24,514621,509007
2022-03-09 15:03:26,514477,508929
2022-03-09 15:03:28,514460,508892
2022-03-09 15:03:29,514449,508863
2022-03-09 15:03:31,514455,508867
2022-03-09 15:03:33,514487,508869
2022-03-09 15:03:34,514489,508896
2022-03-09 15:03:36,514456,508904
2022-03-09 15:03:38,514461,508905
2022-03-09 15:03:40,514450,508884
2022-03-09 15:03:41,514464,508866
2022-03-09 15:03:43,514472,508912
2022-03-09 15:03:45,514475,508874
2022-03-09 15:03:47,514481,508843
2022-03-09 15:03:48,514453,508890
2022-03-09 15:03:50,514507,508888
2022-03-09 15:03:52,514466,508866
